,filename,label,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15,embedding_16,embedding_17,embedding_18,embedding_19,embedding_20,embedding_21,embedding_22,embedding_23,embedding_24,embedding_25,embedding_26,embedding_27,embedding_28,embedding_29,embedding_30,embedding_31,embedding_32,embedding_33,embedding_34,embedding_35,embedding_36,embedding_37,embedding_38,embedding_39,embedding_40,embedding_41,embedding_42,embedding_43,embedding_44,embedding_45,embedding_46,embedding_47,embedding_48,embedding_49,embedding_50,embedding_51,embedding_52,embedding_53,embedding_54,embedding_55,embedding_56,embedding_57,embedding_58,embedding_59,embedding_60,embedding_61,embedding_62,embedding_63,embedding_64,embedding_65,embedding_66,embedding_67,embedding_68,embedding_69,embedding_70,embedding_71,embedding_72,embedding_73,embedding_74,embedding_75,embedding_76,embedding_77,embedding_78,embedding_79,embedding_80,embedding_81,embedding_82,embedding_83,embedding_84,embedding_85,embedding_86,embedding_87,embedding_88,embedding_89,embedding_90,embedding_91,embedding_92,embedding_93,embedding_94,embedding_95,embedding_96,embedding_97,embedding_98,embedding_99,embedding_100,embedding_101,embedding_102,embedding_103,embedding_104,embedding_105,embedding_106,embedding_107,embedding_108,embedding_109,embedding_110,embedding_111,embedding_112,embedding_113,embedding_114,embedding_115,embedding_116,embedding_117,embedding_118,embedding_119,embedding_120,embedding_121,embedding_122,embedding_123,embedding_124,embedding_125,embedding_126,embedding_127
0,ecg_window_196_1_1.npz,1,-0.4444096,-0.4137386,0.9700794,0.8890767,0.99887085,-0.3418789,-2.9621449,0.4438324,1.1842415,1.569088,0.44237328,1.4183722,-1.790318,-0.3539753,-1.1440364,0.68145275,0.8040924,0.6157017,1.3613148,0.62577295,-0.77287674,0.13294983,-0.6327237,1.3838186,0.65165377,-0.16963768,-0.5949087,1.4045486,0.29650116,-1.3766556,0.5966015,-0.9678993,-0.20009232,-1.0792007,-0.83342934,0.5759332,-1.0843697,0.009759903,1.3145998,1.2364892,0.37397754,0.72884476,-0.6392364,2.6445055,0.5727005,1.0923965,-0.40942955,0.36778355,-0.27055287,1.410327,-1.0061817,-0.41612494,0.062201977,1.0255017,0.44352412,0.7064934,0.8652687,0.6113243,-0.5853758,-1.0575256,0.07997143,-0.26280725,-1.5147991,0.80592585,0.5205941,-1.6568065,-1.6269693,-0.7769401,1.0436678,-0.79797363,-0.81056213,-0.6025162,1.7130823,-0.8023262,1.2358992,-0.49919224,-1.3090761,-2.2977676,0.35627222,-1.7468338,-0.9427433,1.7549529,0.4674517,1.7103233,-1.3063631,-2.0489244,-0.7690983,-0.24966812,-0.39977837,-1.5447845,-1.7657509,0.27736568,0.75793076,0.6660863,-2.2903318,1.6618252,-0.62423706,0.08770752,0.23964524,0.5561943,0.2825985,-1.4575657,0.44269943,0.578351,-0.6611767,0.73357725,1.223351,-1.72356,-0.017564058,0.62081146,-1.2828016,-1.2937126,1.6739268,-1.2661419,0.4292431,-0.5260353,-1.2151656,-1.9157181,-0.5864334,0.11601305,0.5107269,-1.4179523,0.35370255,0.6380844,1.2707162,-1.1227512,-0.5602093,-0.2558234
1,ecg_window_186_1_1.npz,1,-0.9109613,0.34117305,0.45068073,-1.0212477,-0.2380848,-0.005460739,0.2940402,-0.83340645,0.98908687,0.16326523,1.0135183,-0.4801712,0.06328249,-0.45202065,-1.2151493,-0.27700555,-1.0183525,0.2998829,0.84620714,-0.12722611,0.78333664,-0.9524059,0.4213829,-0.05830288,-0.81269264,-0.13888168,0.15828991,-0.36913013,0.0076179504,0.12062073,0.23721504,-0.054351807,0.6997409,-0.38134003,-0.6695318,-0.24156332,0.7135887,-0.24335098,-0.4264536,-0.31806922,-0.1910075,1.1412103,0.43539196,-0.017475128,0.21906662,-0.55818176,0.014509201,-0.5781355,0.3396674,0.23674345,0.68832207,-0.8392209,-0.33199263,0.004910469,0.52229285,-0.050131798,-0.97904015,0.076890945,0.18944788,0.6236315,-0.3356893,-0.9538681,0.11847496,1.0181978,-0.6345756,0.08894801,0.055933,0.3998251,-0.5532837,0.34261703,-0.8250494,0.075229645,-0.32045603,-0.28322887,0.7865119,-1.2237532,0.5180669,0.00088977814,-0.451545,-0.85313416,0.15161085,-0.15180492,-0.8375963,0.30241394,0.690125,-0.15004349,-0.17956448,0.12124443,-0.62265587,-0.83877754,-0.578825,-0.40011406,-0.1608324,0.74383914,0.38587952,-0.07919121,0.5951748,-0.2906065,-0.20045698,-0.01379776,-0.15297127,-0.21494341,-0.38579655,0.4424076,0.49320412,-0.45787144,-0.09255028,0.033010006,0.21994436,-0.99794865,0.4364524,1.6543884,0.8302374,0.06669235,0.10571861,0.44734764,-0.47485542,-0.26938438,0.054603577,-1.1712751,0.5624542,-0.9555077,0.26654243,0.9995842,0.21678352,-1.0037565,0.34758663,0.4569564
2,ecg_window_8_2_0.npz,0,-0.17117041,0.19253206,0.05386877,-0.9724102,0.7797508,0.044221878,-0.18240643,-0.7407932,0.55959487,-0.14376068,0.30897236,0.060523987,-0.8926654,-0.5360861,-0.49583244,0.8012032,0.7107506,-0.2124424,0.0840745,1.1247048,0.04880905,0.5254221,-0.53344166,0.31105518,0.04876995,-0.4937439,0.25053406,0.4570856,-1.0939407,0.6125984,1.1712723,-1.4481916,0.378551,0.048384666,0.7656646,-0.9316857,-0.090322495,-0.965559,0.11015439,-0.37063873,-0.049160004,-1.0201607,-0.7671605,0.58672905,-0.2489624,0.31169415,-0.31121254,0.019706726,-0.22285709,-0.01874733,-0.2663746,-0.26321137,0.2086587,-0.3802681,0.5681691,0.26693058,1.6395512,-0.386158,-0.9338422,0.014039993,0.66554105,-0.32163763,-0.3287449,0.3502648,1.5743418,-0.67917824,0.813612,0.7054386,0.5803828,-0.916481,-0.17703915,-0.2614212,0.09138918,-0.42041492,0.8814955,1.569921,-1.5339084,-0.24318981,0.39089656,-0.21661758,0.94785166,0.10170841,-0.5761069,-0.09343338,0.7559285,0.2325468,-0.77618194,0.948431,-0.6269169,-0.3079052,0.20906448,-1.1476517,0.33105564,-0.98869437,0.1696701,1.3706989,0.68097115,-0.41182232,0.5767648,-0.58421516,0.057391167,-0.34053874,0.25657368,0.035990715,0.5501795,-0.27486372,-0.54593706,0.011892915,0.53826964,0.36462307,-0.3090539,-2.166195,0.29132843,0.8558712,-0.41662025,-0.37717056,-1.0539103,-0.43777466,-0.102537155,-0.21874785,0.81126404,-0.1972807,-0.1032505,2.7555695,-0.62790203,-0.45903444,0.6859789,0.5585909
3,ecg_window_89_0_1.npz,1,-2.0538259,0.66618186,-0.34930563,-1.4169927,-0.86460495,0.52646065,1.0180721,-0.64144516,1.4337871,-0.5784035,1.5237579,-1.0245342,1.2447572,0.1723957,-1.2588019,-0.26741326,0.28405,0.021831512,1.4658713,-0.46014595,0.20220184,-1.2726212,0.47288036,-0.79964924,0.42769146,-0.39330292,-0.12288189,-0.6949196,-0.2610817,0.3806305,-0.0910511,0.18553162,0.8153746,0.27921295,-0.88949585,0.79600453,1.2383833,0.103302,-0.9029381,0.7283555,-1.0464395,0.28049365,0.95595,-0.5668745,-0.90547943,-2.6301074,-0.2932663,-1.9656689,0.6925732,-0.08918095,0.5701122,-1.356,0.03439331,-0.7679434,0.9803419,-0.34054947,-1.610529,0.76647186,0.23474503,1.83249,-0.74200475,-2.028345,0.17333603,1.6825866,-0.7320483,1.5671885,-0.3014059,0.4454298,-1.417881,0.5462074,-1.5224276,0.10014343,-1.8091149,-0.36548042,0.9285717,-0.35949516,-0.68125796,0.9323425,-1.5907637,-1.2140961,-0.7929988,-1.0395737,-1.2351048,1.5810165,0.8831377,0.010176659,0.88924,-1.7068577,0.115299225,-0.9245925,-0.86754227,-0.010848045,-0.5658436,1.4571851,1.3182898,-1.4972286,-0.40685654,-0.18799591,-0.86746585,1.096796,-0.6185236,0.5963347,0.9916296,-0.043870926,0.3669281,-2.105234,-0.91496325,0.41773152,-0.6714064,-1.3693542,1.3776178,2.8215904,0.9187889,-0.29224396,0.8917866,0.81372833,-0.53111744,0.120838165,1.4359798,-2.3464293,1.1477127,-1.4089524,-0.09208679,-0.5383644,0.3176751,-1.6189346,0.78654194,-0.53153294
4,ecg_window_99_0_1.npz,1,-0.031467646,-1.2713037,1.6115837,0.9066756,-0.7025299,-0.9592953,-0.6853895,0.91528606,0.9854009,0.30129242,-0.6484175,0.8511591,-1.8428407,1.2385578,-1.0117595,0.2797798,0.14840317,0.48664665,0.7273102,0.13894606,0.84687805,-0.38578987,-0.38617766,1.4638662,-0.4841404,0.34919357,0.5463333,-0.99287033,1.2877884,-0.61366653,-0.30564117,0.13226318,0.35147405,0.000787735,0.6951666,1.0527782,-0.1031723,0.35069847,-0.98290765,0.11130786,-0.12500608,0.6540617,-0.38790038,1.5359354,0.09547043,1.4656699,-0.22037315,1.0123436,0.02362062,1.9433393,1.1419945,-0.73864865,0.6471734,1.5509214,-0.058264256,-0.082717896,-0.091119766,-0.43496323,-1.3053269,-2.0724401,0.07668066,0.0671556,1.1920261,0.42492843,-1.6958485,-1.2954144,-1.2458954,-0.017359734,-1.0608149,0.33397675,-0.062124252,-1.2992077,2.0560865,-1.3256884,0.95606613,-0.14620113,0.50926447,-1.7373486,-1.3067749,0.81330204,0.015388012,-0.2810259,1.91846,0.5965862,0.15804577,0.20900917,0.24703383,0.18318176,0.3274994,-1.4912624,-1.0984745,1.3695383,0.15304756,1.3045946,-1.5420914,-0.85489655,-0.19805527,-0.41783047,0.29224277,0.31480217,0.6507282,-2.0247693,-0.7232847,0.85255957,-0.9722829,0.8772688,-1.3786559,-1.0843627,-0.33490908,0.5006304,-1.7232904,0.7059784,1.4625826,-0.68401146,0.28917503,0.45643234,-0.23540688,2.018238,-0.060325623,0.2366085,-0.07161331,-1.4348834,0.45142555,-1.121315,0.07921457,-0.52263784,-0.5969577,-0.21593755
5,ecg_window_1_0_1.npz,1,-0.9768449,0.8051563,0.5320244,-0.19918633,-0.21017456,-0.5095749,0.13486242,-0.61785793,1.0156381,-0.12786865,-0.2901678,-0.7263336,-0.15307283,-0.13028908,-0.9993408,-1.2179799,0.13890076,-0.666111,0.77005196,-0.26491833,1.1581764,-0.011709213,-0.4115783,-0.059939384,0.35971642,-0.20332336,0.6604557,0.07932949,-0.5576706,0.8197479,0.35854912,-0.15452576,1.3390098,0.5356083,-0.39220524,-0.33203912,0.6174526,-0.87592316,-0.39010286,-0.6304164,-0.3514223,0.6635821,0.36148477,-0.5198889,-0.40703583,-0.62525606,-0.33276558,-1.2003386,0.851479,0.14308739,0.47959137,-1.3527217,0.41583395,-0.6604891,0.86195445,-0.16959381,-0.9113903,-0.19305229,0.06646013,0.5717335,-0.17710292,-1.5326265,0.09359741,1.0871339,0.19716597,0.27099538,-0.23389149,0.14413643,-0.32085323,0.8579407,-0.8238926,-0.3450775,-0.51417303,0.16417503,0.80799437,-0.51384354,-0.01666832,-0.028773308,-0.65144944,-0.37573624,-0.1983881,-0.52877235,-0.16464126,0.5122032,0.7525091,-0.23590565,0.6908612,-0.07723999,0.09985733,-1.1224923,-0.2898903,-0.90765476,-0.5800514,0.67098105,0.83704996,-1.9255009,1.4707832,-0.71072865,-0.36779213,0.03513336,0.3906889,-0.13839722,0.2653494,0.042484283,-0.30457306,-0.7091241,-0.7389822,0.31719863,0.32226598,-0.8089857,0.063937664,1.2454643,0.72922564,-0.27767944,-0.38523865,0.10621071,-0.4172473,1.2597809,-0.29043388,-1.1948957,0.6070862,-0.8607373,0.15387344,0.40686035,-0.49756813,-0.94284153,0.041743755,-0.19355053
6,ecg_window_80_2_0.npz,0,-0.4791162,0.92775804,0.025004864,0.21843076,0.03693199,-0.38066292,1.3667436,0.91498613,0.39958405,-1.45158,0.21639252,-1.3618431,1.0003524,-0.5643654,-0.5341737,0.7116158,-0.5897789,-0.8595066,0.24063921,-0.010992527,-0.37054443,-0.41454983,0.021279097,-1.1613979,-0.2946186,0.4242897,0.8236761,-0.49643517,-0.273201,1.4642296,-0.4817238,0.40027046,1.5255227,1.2370481,1.8894801,-0.8669224,0.7991495,0.99044037,-0.8596034,-0.6911603,-0.7606307,-0.7581897,0.09939721,-0.88076496,0.1962471,-0.1571703,-0.6313267,-0.24092484,0.5302501,-0.29223633,0.9000435,-0.79819345,0.50728846,-0.64130306,0.6385083,-0.7273731,0.054958344,-0.63445663,-0.1667881,0.93582344,-0.1779337,-0.8367932,0.88417816,0.4614463,-0.318408,0.6135783,1.2173138,0.9115033,0.3047986,0.77513885,-0.20684242,0.43593788,-0.93884945,-0.060587883,0.5656965,-0.0035290718,1.2265645,1.1394386,-0.18149877,0.21164894,0.037967682,0.17199993,-0.45395935,-0.7535744,1.3946109,0.50006676,-0.1260457,0.60684395,-0.3877735,-0.0060100555,1.2808857,-0.23162174,-0.2086649,-0.06089674,1.3283198,-0.12473297,-0.9593277,-1.297019,-0.45422816,0.21713829,-0.5628023,0.6647203,0.0895586,-0.3007679,0.71494675,-1.3247659,-1.0711126,0.69460285,0.21764684,-0.8567734,1.0467734,0.16407013,-0.02128458,0.8178444,-0.047353745,0.28983116,-0.276083,0.8232918,-0.0947876,-0.9914279,0.18135071,-0.072160006,0.28238487,-0.3526535,-0.7205515,-0.4683876,0.80155325,0.881861
7,ecg_window_90_2_0.npz,0,-0.41965377,0.6162657,0.011842251,0.48245192,-0.53685,0.34133148,0.90676546,0.47330284,0.09364247,-1.3618279,0.0825634,-0.55601215,0.109101295,-0.9632168,-0.43226302,0.40073073,0.8296089,-0.35087967,-0.012182236,-0.2999704,-0.33581924,0.15010643,-0.2728865,-0.85700417,-0.75915813,0.56601906,0.21666336,-0.45825577,0.6493912,0.5093765,0.58107185,-0.609108,0.45748115,0.26015186,1.0586824,-1.3579917,-0.52090645,0.26748657,-1.0756973,-1.2110944,0.5082413,-1.2347536,-0.030558594,-0.4974246,-0.7669792,-0.21661615,0.09272385,0.9689698,-0.34493887,-0.5433779,0.39221954,-0.46746635,0.58331347,-0.51017284,0.8877442,0.23526001,1.1999664,-0.14411354,-0.14426947,0.6080599,0.08902335,-0.59898514,0.1006279,0.42933655,0.88155603,0.35654926,1.5153332,0.51127815,0.7179756,0.11122513,-0.3081169,0.51807976,-1.0309029,0.9685888,0.6356211,0.76549387,1.3097413,1.2951126,0.8492069,0.13672256,1.3606119,-0.6152954,0.09479034,-1.2792645,0.08697891,1.4177198,-1.0349026,0.8005371,-0.398592,0.10030174,1.1622334,-0.22099495,0.17647648,-1.0341154,1.0914521,-0.48583984,-0.42814636,-0.65623474,0.05750394,-0.7170849,-0.34079647,0.7156186,-0.23830223,-0.24919891,0.8828192,-0.38270473,-0.3683772,0.9573306,0.7134751,0.4573822,0.32140017,-1.041523,-0.12377119,1.6319466,-0.01732254,-0.51592064,-0.14626884,0.3715496,-1.1339245,-0.5189748,-0.8096466,0.07617688,-1.2492447,0.2526207,-0.8989172,0.0008983612,1.1019878,0.15447712
8,ecg_window_2_1_1.npz,1,-1.2069178,0.61454743,0.4086666,0.2847855,-0.29198647,0.015089035,-0.058188915,-0.29893684,1.2140481,0.08408737,0.71604824,-0.49862385,0.26581144,-0.051761627,-1.1527822,-1.365418,-0.3989029,-0.04565811,1.5707455,-0.40917206,0.64162445,-0.27468777,0.5528238,0.3900118,-0.17158508,0.5255165,-0.109972,0.037255287,-0.11879349,0.25344467,0.8664398,-0.26534653,0.96487427,0.07255554,-0.78700686,0.4397869,0.9650965,0.8775177,0.5704012,-0.4942099,-0.24253142,1.649801,0.13676786,-0.21721888,1.1584015,-0.36137438,-0.08452225,-1.1412003,1.087017,0.20900965,0.82982826,-1.1271529,-0.2086649,-0.20283604,0.71717405,0.3294983,-0.8214016,0.37049675,0.55041885,1.0457754,-0.26221836,-1.5013652,0.5489025,1.0571945,-0.9019253,0.44014812,0.017029762,0.14484024,-0.5925617,1.0455856,-1.2351551,-0.60359764,-0.51148796,-0.08017635,0.8715973,-0.99376035,-0.028690338,-0.15832806,-0.90431035,-1.1441422,-1.2012525,-0.00093746185,-1.2609081,0.85038185,0.1892395,-0.6465111,0.06570482,-0.2652893,-0.011425018,-1.2399225,-0.59248924,-1.4064207,-0.98363686,1.2283875,0.9641516,-0.9577122,0.3856392,0.11836624,-0.014339924,-0.20946121,0.14889145,0.28604317,-0.589571,0.44586277,0.13691425,-0.986372,-0.087417126,0.17659104,0.28513277,-0.89081,0.14495134,1.1018944,0.96631956,0.09785843,0.4247265,0.2534237,-0.5703473,0.45152283,-0.43147278,-1.4883943,-0.098602295,-0.94338965,0.6702709,0.14368057,0.33142138,-1.1609516,0.2740817,0.038493037
9,ecg_window_113_0_1.npz,1,-0.79884064,0.044492006,0.9866581,1.1848099,0.39414978,-0.7960243,-1.3277855,0.8898835,0.7945261,0.8890991,0.8802824,-0.36701965,-0.1180048,-1.1084251,-1.2783191,-0.67261577,0.6818466,0.30181885,1.1627765,-1.7928503,-0.94150543,-0.29991055,-0.3668474,0.3685522,-0.7976055,2.0276947,-0.032481194,0.38017273,1.9784241,-0.8017731,0.87820053,0.9064884,1.023804,-0.0030946732,-0.18155718,0.09448266,-0.4115982,0.28643036,1.2013872,-0.4909495,0.73079556,1.9248811,-1.3962984,0.5262222,1.1532898,0.6979604,0.009231567,1.7736039,0.7009066,-0.06839895,-0.04388237,-0.91032934,1.850647,0.13923073,0.6454396,0.7598276,1.3404045,0.53512955,0.15159559,0.43344975,0.41245198,-0.7260927,-0.8765888,0.94208574,-1.3831682,-0.39433837,-0.5420189,-0.76136565,-0.5575447,1.198288,-1.1425877,0.4748478,0.023412704,1.4386435,0.91959476,-1.3671014,0.5097997,-0.05918598,1.4975224,-1.7495766,-0.4341879,2.0319948,0.39113748,-0.13814545,-1.3231583,-0.15125084,-0.8498907,0.7054291,-1.470583,-1.1137524,-0.22671127,0.41166115,0.41357327,-0.3507077,-0.22873783,0.02340126,2.929533,1.545888,-0.07657862,-0.93553543,0.24334908,-0.26738524,-0.83664036,-0.08402157,-0.17699671,0.20324802,2.04975,0.26290715,1.6604238,0.98399353,-0.24004793,-0.10347748,1.0815921,0.40048218,0.64489746,-0.43832016,-0.7717085,0.11690712,-1.8670597,-0.4626932,-0.97792435,-0.19321328,0.28092575,-2.1939201,0.13648081,-0.8500848,0.22150612,-0.1823501
