,filename,label,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15,embedding_16,embedding_17,embedding_18,embedding_19,embedding_20,embedding_21,embedding_22,embedding_23,embedding_24,embedding_25,embedding_26,embedding_27,embedding_28,embedding_29,embedding_30,embedding_31,embedding_32,embedding_33,embedding_34,embedding_35,embedding_36,embedding_37,embedding_38,embedding_39,embedding_40,embedding_41,embedding_42,embedding_43,embedding_44,embedding_45,embedding_46,embedding_47,embedding_48,embedding_49,embedding_50,embedding_51,embedding_52,embedding_53,embedding_54,embedding_55,embedding_56,embedding_57,embedding_58,embedding_59,embedding_60,embedding_61,embedding_62,embedding_63,embedding_64,embedding_65,embedding_66,embedding_67,embedding_68,embedding_69,embedding_70,embedding_71,embedding_72,embedding_73,embedding_74,embedding_75,embedding_76,embedding_77,embedding_78,embedding_79,embedding_80,embedding_81,embedding_82,embedding_83,embedding_84,embedding_85,embedding_86,embedding_87,embedding_88,embedding_89,embedding_90,embedding_91,embedding_92,embedding_93,embedding_94,embedding_95,embedding_96,embedding_97,embedding_98,embedding_99,embedding_100,embedding_101,embedding_102,embedding_103,embedding_104,embedding_105,embedding_106,embedding_107,embedding_108,embedding_109,embedding_110,embedding_111,embedding_112,embedding_113,embedding_114,embedding_115,embedding_116,embedding_117,embedding_118,embedding_119,embedding_120,embedding_121,embedding_122,embedding_123,embedding_124,embedding_125,embedding_126,embedding_127
0,ecg_window_196_1_1.npz,1,-0.53602755,-0.5846005,0.92464703,0.85571384,1.0915898,-0.2799424,-3.0666516,0.20317091,1.2871115,1.541824,0.4328361,1.6537076,-1.9485329,-0.20000313,-1.2124348,0.46580318,0.95448273,0.80732846,1.523403,0.51496536,-0.8442856,0.10414321,-0.58387846,1.1645159,0.52167714,-0.21925642,-0.75887567,1.450197,0.16608575,-1.6313552,0.60938114,-0.8002818,-0.413126,-1.1603416,-1.1236802,0.706929,-1.1629653,-0.03583332,1.4854356,1.70845,0.39999494,0.83558685,-0.43598446,2.9287894,0.6657893,1.1000825,-0.3181735,0.23952247,-0.47642726,1.4382731,-1.1575716,-0.4758596,-0.07969236,1.1255149,0.60482764,0.82333946,0.71891135,0.7918257,-0.36489812,-1.2424419,0.021524148,-0.30549216,-1.517562,0.86733454,0.5837767,-1.9101285,-1.586855,-1.010511,1.0206757,-1.0403947,-0.969609,-0.6854894,2.0051067,-0.7633324,1.2731699,-0.39626858,-1.4481722,-2.6325483,0.3029284,-2.1357944,-1.1310173,1.8875922,0.507796,1.9566962,-1.4575521,-2.0735323,-0.8856769,-0.56661695,-0.2271907,-1.6032922,-1.9576916,0.35809487,0.687875,0.6151649,-2.4901397,1.8753315,-0.7225982,0.28057897,0.26711014,0.6878161,0.032279804,-1.5566524,0.40515482,0.4869829,-0.6261938,0.81134313,1.3799428,-2.0496778,-0.22431816,0.43390283,-1.4284525,-1.4947717,1.7899138,-1.4427371,0.45373195,-0.33838716,-1.0705588,-2.3508081,-0.59540665,0.089722924,0.5027123,-1.4870759,0.2703263,0.76647705,1.482631,-1.2819235,-0.62974674,-0.43653068
1,ecg_window_186_1_1.npz,1,-1.0426483,0.22495939,0.43787637,-1.0722333,-0.24262333,0.00562089,0.07348582,-0.98611444,1.0853946,0.24138936,1.1077725,-0.28280357,0.013927392,-0.32285896,-1.2846377,-0.51305026,-0.9752751,0.44200313,0.9849616,-0.19339643,0.87490964,-0.97323126,0.43521848,-0.072665684,-0.8212812,-0.13456729,0.052192457,-0.3072207,0.0031071666,-0.06637707,0.18695022,0.090060815,0.576553,-0.4314469,-0.93477714,-0.045951236,0.5305081,-0.26574764,-0.26408073,-0.092441715,-0.12160055,1.1833618,0.57118404,0.14644043,0.2530995,-0.6333223,0.036824428,-0.5499138,0.2572648,0.15907429,0.57179725,-0.8596139,-0.3478485,-0.006182596,0.6382387,0.034039292,-0.9467638,0.21683721,0.36771613,0.6304715,-0.29883614,-1.0806671,0.06628688,1.0832613,-0.59168464,0.05290603,0.047996093,0.12180187,-0.6245216,0.23990592,-0.9678177,-0.04981258,-0.38426375,-0.20540252,0.83990026,-1.1095796,0.32353768,-0.09585121,-0.47824293,-1.1477097,-0.081604935,-0.094225906,-0.87654954,0.43698058,0.48626658,-0.2762503,-0.18613984,-0.09865862,-0.4941466,-0.91612434,-0.75911343,-0.47905082,-0.14641967,0.70103717,0.20773835,0.00829158,0.6593969,-0.07964913,-0.19742385,-0.0397169,-0.27574554,-0.19774261,-0.35430378,0.37695584,0.39858514,-0.5252846,0.049081497,-0.077696025,0.1279921,-1.2174708,0.42567143,1.5202006,0.94098675,-0.079106234,0.17747793,0.5527719,-0.38837457,-0.54769796,0.07791925,-1.2691696,0.65733874,-1.0475149,0.24181546,1.1928385,0.39908955,-1.1523675,0.24285467,0.3199005
2,ecg_window_8_2_0.npz,0,-0.24460517,0.09472733,0.080283225,-1.0291095,0.7778134,0.050074928,-0.31167328,-0.92036575,0.66326946,-0.013797433,0.29923978,0.23282479,-1.0007205,-0.40699846,-0.56771487,0.70086014,0.79656535,-0.060257643,0.22365503,0.939312,0.032608777,0.3717355,-0.53512865,0.30281675,-0.02458821,-0.5441084,0.19304976,0.46878037,-1.2931901,0.48946342,1.1666745,-1.3190378,0.28238764,-0.0073249405,0.80387944,-0.7752207,-0.16509296,-1.0197436,0.20158784,-0.20660314,0.010581326,-1.0245992,-0.59488976,0.74557495,-0.18759367,0.2888503,-0.30152732,-0.028038217,-0.33382806,-0.10653288,-0.4099764,-0.32703626,0.16273238,-0.418225,0.6741574,0.3190458,1.4993448,-0.28480992,-0.85217535,-0.041606303,0.54582727,-0.40831304,-0.37236542,0.4413625,1.4238845,-0.80460775,0.76103777,0.46627077,0.49692747,-1.0318227,-0.2837884,-0.33381596,0.08818079,-0.36818445,0.9296997,1.5170208,-1.5094861,-0.35450464,0.37890986,-0.3794829,0.70200175,0.14217614,-0.5330178,-0.009511193,0.5560778,0.14509659,-0.8350163,0.8201799,-0.48928374,-0.42202428,0.12441081,-1.2872349,0.33467585,-1.0170356,0.03519084,1.5876021,0.6732534,-0.27315596,0.48960605,-0.6508215,-0.10953076,-0.35256836,0.2759696,-0.00863024,0.43275592,-0.31325197,-0.4718305,-0.053808834,0.51005006,0.33334696,-0.4000837,-2.1686425,0.41383204,0.65092736,-0.3334406,-0.27395967,-1.0079471,-0.64196473,-0.078864336,-0.27039275,0.8335692,-0.31536064,-0.14583437,2.9641275,-0.5525983,-0.5832222,0.56006587,0.43863234
3,ecg_window_89_0_1.npz,1,-2.265283,0.56933844,-0.36559972,-1.4375812,-0.9209868,0.5573109,0.722847,-0.79324365,1.5333889,-0.43645257,1.6964588,-0.88137466,1.2740033,0.28584346,-1.3233389,-0.43107417,0.45774552,0.16819777,1.580091,-0.53094953,0.22266346,-1.2049309,0.48251176,-0.78572005,0.42742628,-0.2838485,-0.21829228,-0.6180499,-0.35060385,0.12548448,-0.19504872,0.36175662,0.710032,0.20854351,-1.2458503,0.9255067,0.97656083,0.13861646,-0.7359575,1.1161238,-0.95632607,0.17677826,1.0647178,-0.44091353,-0.9065447,-2.8714926,-0.29294696,-1.8370479,0.6068869,-0.14019224,0.46867707,-1.3444997,-0.0012700662,-0.8571402,1.0914901,-0.24131486,-1.5785357,0.93860537,0.42418507,2.005367,-0.69671226,-2.246319,0.10411083,1.7327703,-0.68684816,1.7366408,-0.27912742,0.17588587,-1.4393476,0.46403146,-1.694149,-0.031883378,-2.1536362,-0.3480298,0.95984256,-0.31238574,-0.84585905,0.9625692,-1.6706038,-1.5649927,-0.9454939,-1.0601162,-1.3387319,1.8166782,0.7155354,-0.15827781,0.96983975,-2.1508374,0.37409553,-0.98394006,-1.0876188,-0.044294264,-0.61476904,1.4753641,1.127079,-1.529908,-0.49792954,-0.08592535,-0.7882334,1.1141196,-0.7463913,0.7128278,0.9566027,-0.14425185,0.30813542,-2.3962662,-0.8036676,0.34572393,-0.81303144,-1.5307837,1.4708158,2.6196432,1.023999,-0.44383034,0.932496,0.8701517,-0.47734135,-0.15994744,1.4613599,-2.5076861,1.2563753,-1.4749556,-0.15833253,-0.42690688,0.5038159,-1.7573843,0.63103193,-0.66582745
4,ecg_window_99_0_1.npz,1,-0.10080334,-1.4317027,1.6298735,0.9470035,-0.72520334,-0.9264448,-0.92629904,0.781648,1.0814207,0.41500297,-0.769088,1.0708711,-2.0002155,1.3373543,-1.0871761,0.09054584,0.293985,0.6288758,0.8763312,0.07251241,0.99366456,-0.43100387,-0.37354714,1.268499,-0.51543766,0.3863505,0.44458714,-0.9285464,1.3894905,-0.8067312,-0.40690497,0.2290218,0.19604366,-0.051989544,0.69059855,1.1640829,-0.23026593,0.37804282,-0.8836951,0.38219056,-0.047001503,0.7436861,-0.24784555,1.7760797,0.09602004,1.5381062,-0.1881666,0.82710195,-0.14415011,2.00825,1.0313102,-0.77770764,0.62377864,1.6748185,0.09971336,0.06255405,-0.17723387,-0.3492165,-1.2358046,-2.4015732,0.0012103487,0.025002055,1.2483255,0.51530665,-1.6188351,-1.5128585,-1.2134893,-0.29775155,-1.2186196,0.20392132,-0.1842752,-1.2989458,2.4179943,-1.2560912,1.0086523,-0.016210455,0.3973053,-2.028312,-1.3874782,0.8258383,-0.21014704,-0.20005544,2.144907,0.77514255,-0.066707976,0.13948883,0.24245216,-0.052847102,0.5347905,-1.5546753,-1.2774374,1.5147434,0.16036062,1.2629673,-1.7453104,-0.9465543,-0.25760952,-0.21213509,0.24679926,0.41694576,0.42333525,-2.2085707,-0.6615232,0.7704149,-0.9613453,0.95127696,-1.2962409,-1.3078574,-0.45326912,0.4294091,-1.9160051,0.63402945,1.5686246,-0.86755764,0.29815024,0.59273523,-0.09500528,1.8564652,-0.08602478,0.22785275,0.016388299,-1.5031444,0.3550424,-1.10936,0.19027632,-0.6790375,-0.64163554,-0.38116464
5,ecg_window_1_0_1.npz,1,-1.1158794,0.71437347,0.5174766,-0.24032937,-0.19690152,-0.46865684,-0.10267516,-0.7933462,1.1163251,-0.032387517,-0.33225688,-0.5630534,-0.2093844,-0.03842866,-1.067663,-1.4500589,0.24016544,-0.60047024,0.9079341,-0.32886016,1.2826359,-0.10813692,-0.41665342,-0.08952904,0.31329298,-0.1712827,0.5860755,0.15849473,-0.60731035,0.6508032,0.33298936,0.01722134,1.295634,0.46786553,-0.58625317,-0.15015578,0.4659406,-0.8959959,-0.23689805,-0.44785866,-0.29247501,0.61578166,0.50842583,-0.37700146,-0.4071741,-0.7021185,-0.3441333,-1.1335994,0.74255955,0.0709468,0.33272958,-1.3462533,0.4286443,-0.75879365,0.9522481,-0.07046293,-0.87448204,-0.08594078,0.2412,0.6018379,-0.18492925,-1.7194538,-0.0038144812,1.1426953,0.18861115,0.2611563,-0.2224508,-0.11554169,-0.43014678,0.7386771,-0.9670921,-0.42832786,-0.62359524,0.21518989,0.8541998,-0.47779363,-0.18492591,-0.12688702,-0.6948981,-0.5956638,-0.39565986,-0.47405538,-0.14501266,0.6787282,0.5395336,-0.38032317,0.7771718,-0.31465843,0.32205072,-1.1749958,-0.4902178,-1.0170298,-0.59581685,0.6504607,0.66854787,-2.0066426,1.624171,-0.58075845,-0.35636398,0.06387722,0.18748364,-0.11828457,0.28218988,-0.036868863,-0.30026835,-0.828762,-0.66003275,0.2360255,0.2384955,-0.95756036,0.04440657,1.079486,0.840597,-0.4435389,-0.2953851,0.21480198,-0.34349903,1.0191234,-0.22953202,-1.2960854,0.72032875,-0.95956725,0.09182991,0.5356791,-0.38041672,-1.0873512,-0.04247079,-0.3284523
6,ecg_window_80_2_0.npz,0,-0.581426,0.86112344,0.04107566,0.1251075,0.031286366,-0.34897903,1.1470392,0.7914567,0.50127727,-1.2101746,0.21021359,-1.2283193,1.0117823,-0.45673555,-0.60887146,0.6681341,-0.5705845,-0.7832729,0.35626286,-0.12092614,-0.39089382,-0.54102266,0.027210077,-1.079141,-0.3069218,0.49797824,0.77400094,-0.5118347,-0.275383,1.3342983,-0.6323124,0.48230726,1.510271,1.1788554,2.1412623,-0.6900915,0.66605204,1.1099749,-0.8049008,-0.61543024,-0.67370725,-0.85058445,0.20811002,-0.7929484,0.23138991,-0.19190158,-0.60966647,-0.25853762,0.45351484,-0.35499272,0.75755465,-0.82151395,0.5278449,-0.740289,0.70698696,-0.59814215,0.016338129,-0.56392807,-0.03226119,1.0040547,-0.18060558,-0.97489905,0.894611,0.5549596,-0.35539296,0.64762455,1.1459892,0.6749082,0.23666638,0.6700034,-0.30383292,0.32191432,-1.1030428,-0.027001232,0.6204724,-0.013664366,1.1391658,1.1886446,-0.25906616,0.10384222,-0.06064706,0.21472336,-0.42518985,-0.7109873,1.2014319,0.41023472,-0.100315005,0.48311096,-0.28049672,-0.12012851,1.155117,-0.26860404,-0.21906519,-0.01478939,1.2103652,-0.05569239,-1.1968904,-1.1901851,-0.45904565,0.18023175,-0.67697144,0.7411852,0.08511639,-0.31859994,0.6049395,-1.4944878,-1.0915118,0.7175285,0.19200125,-0.938832,1.082158,0.10323597,0.09468436,0.6586962,0.030003082,0.3443234,-0.22958608,0.72005445,-0.046450652,-1.086445,0.3111576,-0.20708497,0.23241405,-0.25108904,-0.62913656,-0.59350914,0.6868885,0.8017015
7,ecg_window_90_2_0.npz,0,-0.50631815,0.55014944,0.029897729,0.38940504,-0.58134323,0.34828308,0.70665395,0.34104955,0.19521417,-1.1643183,0.073249735,-0.4055598,0.052786615,-0.8510615,-0.506736,0.33186647,0.9992168,-0.23787005,0.11856679,-0.35357785,-0.40862682,0.040371858,-0.27533767,-0.75822425,-0.7543195,0.57119787,0.16014844,-0.44861177,0.6670826,0.39344755,0.53483194,-0.53161806,0.38595068,0.19810314,1.166093,-1.1728748,-0.5712982,0.33420357,-1.0156581,-1.2222345,0.51245636,-1.3033667,0.106636055,-0.3832884,-0.7396129,-0.25435856,0.117802106,0.8102061,-0.4078793,-0.6284107,0.24198696,-0.5081612,0.60408217,-0.5711249,0.9542354,0.2746031,1.1082445,-0.04898037,-0.009210004,0.6173686,0.073325045,-0.6981016,0.09089715,0.50925267,0.777819,0.35123616,1.4455241,0.31819117,0.63228476,-0.025501633,-0.41115063,0.38820136,-1.2191972,1.0350395,0.68874884,0.6999754,1.1950973,1.3394171,0.8330545,0.026616532,1.1050462,-0.5972597,0.15273851,-1.2095251,-0.047158103,1.2959217,-1.0878053,0.7032967,-0.31053847,-0.034165785,1.0514456,-0.26105025,0.18325552,-1.0492085,0.9823963,-0.4468575,-0.56232995,-0.5643078,0.012252291,-0.8072978,-0.47120807,0.77840626,-0.20565617,-0.27767062,0.76035833,-0.44471988,-0.30930722,0.9775595,0.69853127,0.4142878,0.30661103,-1.0513719,0.0032538876,1.4156537,0.03639388,-0.43772823,-0.084276736,0.23058756,-1.0409395,-0.58792347,-0.7292782,-0.04833979,-1.2705802,0.37810224,-0.82078964,-0.13418058,0.9831232,0.07472463
8,ecg_window_2_1_1.npz,1,-1.3482996,0.52708083,0.3695293,0.2722478,-0.28364035,0.054135486,-0.26461738,-0.41967416,1.3087223,0.16465902,0.7735257,-0.32754618,0.22547366,0.11154325,-1.2160867,-1.667081,-0.346276,0.06270674,1.7021621,-0.46347424,0.70829105,-0.28341493,0.5867523,0.3451946,-0.19393723,0.5539167,-0.22300489,0.12743357,-0.16056158,0.021911277,0.88041306,-0.14808297,0.8476392,0.01608529,-1.0935565,0.5686847,0.71957713,0.9444907,0.78025293,-0.2795382,-0.18546358,1.6596365,0.22979812,-0.068923675,1.2241597,-0.42018852,-0.099456444,-1.0879939,0.9489439,0.12696567,0.72063357,-1.1215719,-0.25140744,-0.21743849,0.8187805,0.38278514,-0.8209283,0.53298277,0.8235939,1.1252939,-0.2429493,-1.6660697,0.53192,1.1103165,-0.7738403,0.4686744,0.040942702,-0.09965904,-0.59577197,0.9543323,-1.3911747,-0.675293,-0.62391025,-0.055195745,0.9218595,-0.9296574,-0.16904931,-0.27216095,-0.97387516,-1.4955056,-1.3192285,0.035707727,-1.3695345,1.002763,0.053809084,-0.7852095,0.07645983,-0.56735647,0.22444603,-1.278972,-0.80869895,-1.5378983,-1.0634484,1.2039618,0.7967107,-0.94875616,0.35639948,0.27114913,-0.033880457,-0.276335,-0.0038410213,0.3796963,-0.62294704,0.35368884,0.09462887,-1.1334164,0.022602012,0.10199343,0.14962772,-1.0841899,0.1561752,0.8651739,1.0729088,-0.04612071,0.49021932,0.3563366,-0.47414008,0.17524205,-0.37304342,-1.60588,0.01160217,-1.0280634,0.5549018,0.29493555,0.5242046,-1.3050256,0.17591926,-0.08030457
9,ecg_window_113_0_1.npz,1,-0.9278804,-0.05789674,0.9628714,1.1088849,0.40847898,-0.76485324,-1.4905102,0.71442044,0.8985337,0.8916951,0.92445606,-0.18481255,-0.1940768,-0.922301,-1.3520529,-0.9483909,0.8364339,0.43626025,1.2942175,-1.742324,-1.0527008,-0.3168229,-0.34039438,0.28902373,-0.8071462,2.1347873,-0.14125368,0.44846198,2.0638185,-1.0205667,0.82839805,0.98696226,0.92860925,-0.079394065,-0.39100343,0.25466082,-0.52196914,0.28380454,1.3898654,-0.2765815,0.73548377,2.0433068,-1.321286,0.7120611,1.1627756,0.7151368,-0.015492434,1.5071357,0.5672867,-0.11623306,-0.18506011,-0.92811924,1.866059,0.12871484,0.76647234,0.7908095,1.191515,0.67538273,0.35973123,0.3999562,0.35370013,-0.8342985,-0.9224264,0.99628955,-1.2497784,-0.47474286,-0.5309148,-0.92807853,-0.6867115,1.0456822,-1.3037149,0.2723752,0.02644813,1.59907,0.96110904,-1.2255266,0.3632554,-0.138291,1.5966384,-2.157783,-0.5948507,2.1796308,0.46183598,0.042317495,-1.4287323,-0.26564634,-0.988981,0.4995601,-1.4296657,-1.1820856,-0.4397322,0.4417808,0.37452748,-0.36596662,-0.39945227,0.10487401,3.2373443,1.7116016,-0.084062666,-0.95360786,0.030768653,-0.2627051,-0.7691825,-0.16975723,-0.18262483,0.19500731,2.197665,0.15929171,1.5902423,0.8326997,-0.30135217,-0.23209375,1.1928749,0.19784674,0.6367507,-0.3248045,-0.7136362,-0.20080711,-1.7878532,-0.5171185,-0.9078119,-0.31740507,0.18729651,-2.0827265,0.2873453,-1.0014882,0.13006316,-0.3268787
