,filename,label,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15,embedding_16,embedding_17,embedding_18,embedding_19,embedding_20,embedding_21,embedding_22,embedding_23,embedding_24,embedding_25,embedding_26,embedding_27,embedding_28,embedding_29,embedding_30,embedding_31,embedding_32,embedding_33,embedding_34,embedding_35,embedding_36,embedding_37,embedding_38,embedding_39,embedding_40,embedding_41,embedding_42,embedding_43,embedding_44,embedding_45,embedding_46,embedding_47,embedding_48,embedding_49,embedding_50,embedding_51,embedding_52,embedding_53,embedding_54,embedding_55,embedding_56,embedding_57,embedding_58,embedding_59,embedding_60,embedding_61,embedding_62,embedding_63,embedding_64,embedding_65,embedding_66,embedding_67,embedding_68,embedding_69,embedding_70,embedding_71,embedding_72,embedding_73,embedding_74,embedding_75,embedding_76,embedding_77,embedding_78,embedding_79,embedding_80,embedding_81,embedding_82,embedding_83,embedding_84,embedding_85,embedding_86,embedding_87,embedding_88,embedding_89,embedding_90,embedding_91,embedding_92,embedding_93,embedding_94,embedding_95,embedding_96,embedding_97,embedding_98,embedding_99,embedding_100,embedding_101,embedding_102,embedding_103,embedding_104,embedding_105,embedding_106,embedding_107,embedding_108,embedding_109,embedding_110,embedding_111,embedding_112,embedding_113,embedding_114,embedding_115,embedding_116,embedding_117,embedding_118,embedding_119,embedding_120,embedding_121,embedding_122,embedding_123,embedding_124,embedding_125,embedding_126,embedding_127
0,ecg_window_196_1_1.npz,1,-0.804656,0.17360312,-1.2723516,-0.36935568,-1.2746406,0.7843899,-0.32736665,0.83448035,-0.52799106,-0.96367514,0.662606,0.07310035,0.87625414,0.90088004,-0.21351498,-0.67616194,-0.31528437,-1.472021,-1.3252071,-0.8816524,2.5537822,0.5946988,-0.58138007,-1.5211791,-0.21013877,-0.8983033,0.752647,0.03672732,-0.4655645,-1.9085697,-1.0404708,-0.717757,1.154735,1.0739144,1.1910541,0.3498106,0.79815334,0.22610416,0.7280669,-0.7990863,-0.08466216,-0.0049983296,1.0005378,1.6751014,-0.47877532,0.04766609,-2.3417735,-0.93173575,0.18215497,0.39028805,-0.6193042,-0.9590584,-0.8332274,1.6269598,-0.019922994,-0.44414347,1.0620382,0.649459,-0.44893003,-0.8362309,-0.9468493,0.10328053,-0.8580204,-0.17811221,2.653983,-0.2705479,-0.5198468,0.17392568,-0.05391527,0.96968734,1.1203969,-1.8758876,1.7560881,-1.8973892,0.13054198,-1.4502857,1.6033942,-1.7986282,-1.3257825,-0.008533497,-0.8996967,0.52119946,0.14899352,1.0686376,-1.73905,1.747749,0.15643504,0.5450697,-1.4264511,-0.20452012,-0.43791062,0.42933816,0.11166698,1.3006225,-0.38109675,0.38702884,-0.77929,0.24056335,-0.62076706,-0.6683756,0.28685597,-1.3121096,-0.15917183,1.6158762,-0.99729234,-1.4399338,0.78044474,0.5363623,0.4062861,-0.58713365,0.19627875,0.73896706,0.14405254,-2.6497436,0.02369836,-1.6506531,0.6053123,-0.64062417,-2.7785876,-0.5567631,0.6576006,0.56139976,0.7052894,-0.38422307,0.5179432,0.92781365,0.5003868,1.0820458
1,ecg_window_186_1_1.npz,1,-0.8318091,0.7890619,-1.0147004,0.10026817,0.26742125,-1.2236888,1.6273578,0.45846015,0.72915417,-1.2914678,-0.14487521,-1.0321314,0.47311845,-0.057994913,0.7184346,0.37487847,0.925705,-2.070908,0.22258255,-0.82833856,1.5004478,-0.07973976,-0.24637315,0.4116286,1.8396192,0.49093643,0.92203426,0.66392803,1.0409048,2.1537876,-1.7775599,-0.011543378,0.52697086,1.8600582,1.0386105,0.22866641,0.94534296,-0.61739767,0.96903545,-0.45941806,-0.36189154,0.43942338,0.064166896,0.29971683,-0.120920695,-0.45052773,0.65859824,-0.70204145,-1.731749,-0.26488984,-1.1114446,-1.7250255,-0.8091057,0.010991273,0.059277374,0.39777967,0.3916977,-1.3469709,-0.2027831,0.7640145,0.64971125,-1.803096,1.5420337,1.238429,-0.45475817,-0.13747264,1.068148,-0.9450578,-0.38298607,0.82683,0.7731398,-0.20476717,-0.020856148,-1.3651223,1.4664845,-1.0680151,-0.23447354,-0.38868147,-0.11170567,1.0045298,-0.10386461,0.087599866,-0.17729776,-0.5500793,-0.33171132,-0.3498489,0.4367179,0.9957067,-0.37962553,0.63375807,-0.17487781,-1.3326313,0.5894745,-0.7109563,0.14366613,-0.2025945,-0.48097023,0.754563,-0.33829805,1.1673456,0.46014,0.0011035423,-0.6572789,0.8743214,-0.5422706,-0.7119805,-0.8783044,-0.39961728,1.3207998,-1.6394925,-0.72638285,-0.22373824,-1.3045119,-1.2893684,0.39985532,0.79626024,-0.71000946,0.19029205,0.53749627,-1.2552001,0.09631366,0.6200207,0.284588,0.26547024,-0.2208081,-0.96711683,-0.12310217,0.062456377
2,ecg_window_8_2_0.npz,0,1.7761164,-0.3286041,-0.20470805,0.2582171,1.2348487,0.19281974,0.2607275,1.1396968,-0.2040011,1.3904024,-1.2339109,1.2735207,0.6058791,-1.0277668,-1.9773893,1.0424947,-0.6668568,3.0054977,-0.25389728,1.2132958,-0.71941286,-0.27915838,1.4967855,-0.011275241,-1.0057911,1.7287971,1.0979626,-0.29037073,1.6476036,-0.1556877,-1.2736627,1.3360454,-0.67222214,-0.70564115,-1.4188371,0.62036717,-0.2917526,-0.8255712,1.018712,1.1666731,0.7982717,0.88863355,0.1933829,1.9275422,-1.7054044,1.3325957,1.4876263,0.7113794,0.64852244,-0.7868143,0.23692122,1.1992338,-2.7300801,-0.70782393,-1.2628299,0.0011100603,-0.34836486,-0.12444821,-0.1549939,1.1782751,0.65823257,1.7350997,-0.23341778,-0.79513085,0.05105444,1.3084532,0.4255002,0.2637671,0.6539039,-1.341369,0.66633946,1.1942056,0.663163,0.3124538,-1.5361184,-1.2247078,0.9045782,-0.17384547,0.9741321,-1.4720436,2.0230677,-0.7881766,1.3317628,-0.08294733,1.1923949,-0.7151229,-1.7525,-0.064108364,0.14453436,0.5155678,-0.8084153,-0.5298814,-0.9736054,-0.69732547,-0.7387277,1.8885037,1.2735208,-0.9381607,1.2242985,0.694985,-0.035769567,-1.0591553,0.2608609,-0.5973597,1.1353444,0.9441678,-0.5643443,0.30181992,-1.3223829,0.24735771,-0.9296106,0.1337955,1.595351,-1.1197929,-1.045941,-1.7709996,1.5727692,-0.61191887,0.48965845,2.2794597,0.4558346,0.12367068,-0.9736541,-1.0032517,-0.24202551,0.54641604,-0.456238,-0.42419374
3,ecg_window_89_0_1.npz,1,-0.653251,1.1979599,-0.21236856,-0.38632488,-0.9000539,-1.0520675,2.2324073,-1.1182547,-1.6822182,-0.6177728,0.26234654,-1.4680716,0.5560849,-2.0165942,0.9755685,0.13826112,0.34913957,-1.800219,-0.73024404,-0.08590225,-0.51421636,0.07001196,1.3151264,0.62001663,-0.059314802,-1.1741848,-0.16231851,0.93668485,0.13266143,0.63039756,-0.35824728,-0.16976152,0.6420733,1.3543994,1.1079849,0.32587373,-0.4374748,0.96320343,0.050760973,-1.0060183,-0.7854238,-0.596378,-0.6036394,-1.71696,1.3726718,0.22439617,-1.0638443,-0.79071254,0.13322513,0.526478,-1.3727285,-1.2853749,-0.8391494,-0.270634,-0.14977987,-0.45114896,-1.1675886,-1.0409358,-0.64965683,-0.60429406,-0.023923825,-1.2006142,-0.19085722,1.1479697,0.18997635,-0.2679673,-0.8670102,-0.61121017,0.8243234,1.3013097,0.37824643,0.08479349,0.9447201,0.51038605,0.3816011,-0.5235384,-0.355269,0.21498905,-1.6406746,0.33532903,-0.7594089,0.6790611,-0.4339675,0.6162337,-0.4793635,0.77217114,0.4493958,-1.2371501,-0.44278634,0.06592089,-0.04515367,0.8854117,-1.7417934,-1.1524918,1.2807726,-1.5147319,-1.3568971,-1.0997064,-0.48998976,-1.3729678,0.31687453,0.1165602,-0.4981117,0.75653344,-0.49026188,-0.2237704,0.1408807,-0.6443039,0.23464191,-0.3040187,0.43587512,-0.44281343,1.5380677,0.18656383,-0.51267415,0.59498674,-0.79796445,-1.0471724,-0.058268595,-1.0696259,0.8613601,1.0017111,0.0927957,0.07460591,-1.0722383,-1.0203091,1.1337403,0.254109
4,ecg_window_99_0_1.npz,1,0.60073674,1.422104,-1.0985906,1.0376599,1.2682185,1.1741991,1.1166021,-0.36378515,-0.07769368,-0.61626524,-0.7734855,-0.24965426,-1.1457393,-0.059624422,0.52105194,0.067697935,0.61036426,-0.8751375,-0.3865105,0.41505015,1.8833328,-1.5706927,-0.25897202,0.2559611,1.0323727,0.066237934,-0.2961712,-0.9020666,-1.0251344,-0.30054697,2.1866856,1.1091641,-0.30065697,1.5023549,0.6355009,0.27724817,0.10187836,-1.8097979,-0.5291582,-0.30207002,-1.8426129,-0.49488735,0.7040615,-1.035745,0.48614317,-0.34759656,-0.39644992,-0.63977593,0.38133126,-0.53274536,-1.213939,-0.49750206,-1.8866835,1.1761347,0.34956336,-0.022836056,-0.66601217,-0.048914265,0.31086814,-0.2109685,3.2021246,0.38982627,-0.82372826,1.8040631,0.4555034,0.91593456,-1.051373,-1.3977818,-0.52723813,-0.5396361,0.6360175,-0.36619616,0.045122154,-0.85642695,-1.0920229,1.7283695,0.65116084,0.22752047,-0.5483539,0.109458335,0.67973924,1.4509877,-0.010550915,0.07450019,-1.5488724,0.11260368,-0.5808929,0.56310177,-0.57730365,-0.54057246,-0.18346322,-1.9504774,0.6892057,-0.7938604,0.3387881,1.1856052,-0.6501541,0.5222881,-0.020892315,-0.49324358,0.46809015,-0.38526517,-0.9310676,0.68066347,0.70718056,-0.21407574,-0.08070593,0.027532896,-1.3177025,-0.5461983,-0.95321906,-0.13055743,1.3273842,-1.2653053,-0.636311,-0.24610704,0.22458215,-0.016854802,-1.7356493,0.25576437,1.3169242,0.16923334,-1.1129336,1.3542285,1.2526865,-1.4243568,1.0516826,0.8028816
5,ecg_window_1_0_1.npz,1,-0.23597682,-0.1931441,0.36912602,-0.17667158,-1.6420645,-0.17470561,-0.3246689,-1.2983247,-0.72351235,-2.1548314,0.42569464,0.0031009333,-0.35612896,1.5400536,-0.53176045,-0.35780773,0.1909397,-1.1218433,-0.0850888,-0.6543606,1.317939,-1.7330958,-0.28640613,-1.8638904,-0.7341465,-1.7223567,-1.0903335,-0.36865318,0.19443256,0.45709068,-0.65498245,-0.7313339,0.97183025,2.237271,1.7450048,-0.8925503,0.88728,0.36253175,-1.2782327,-1.0298545,-1.0451809,-0.28421876,0.031439897,1.4725643,0.5057845,1.3285193,-1.0552412,-0.36223254,0.2483306,0.94022435,-1.219569,-0.71790993,0.3181808,0.09838316,0.5594003,-0.6857891,-0.49226743,0.4312244,-0.039935645,-1.1653932,0.50507927,-0.8750412,0.7389455,1.2018874,1.9616504,-1.3188878,-1.6360129,-0.6316523,-0.1679153,0.7019476,0.9732515,-0.5493573,1.1701667,-0.5291641,-0.028126825,-1.5483193,-0.8213469,-2.3537085,-1.4154828,0.03629949,-0.8889238,1.3463626,-1.6566759,0.05187545,-1.4310966,0.2061668,0.80219007,-0.83867913,-0.47929817,-0.9009336,-2.2249968,0.47217485,1.5874971,-1.4210757,-0.416866,0.10304448,0.62584096,-1.4859678,-0.84452206,-1.431129,0.78907996,-0.06010032,1.3409258,1.0067867,0.32714167,-1.1074952,0.3200166,0.042415764,0.32928285,-0.12640578,0.49426538,1.2534683,-0.048104137,0.7528763,-0.107308626,0.62389797,0.46394953,-1.5694174,1.5843838,-1.0387542,2.0168815,0.87693506,0.10321181,1.0031855,-0.6282576,-0.37356925,0.096930765,0.85376346
6,ecg_window_80_2_0.npz,0,1.7453122,-1.4734093,0.7686171,0.9004434,0.48712453,1.8760262,-1.1371212,1.1680176,-1.3429343,1.4331868,-0.30494657,1.5931,0.22377668,-0.23428297,-0.5868817,0.41806576,-1.1359717,1.3663398,1.7186091,0.7063319,-1.3712249,-0.05511821,-0.14505358,0.7689748,0.21736063,0.37738737,1.4602948,1.2180303,0.91290754,0.27142578,1.2157414,0.12623985,-1.4258331,-1.247629,0.19583084,0.36274123,-1.6319681,-0.39857322,-0.8037648,1.8465025,1.7428281,0.99656373,-0.7290201,-1.3077818,-1.3325158,1.5411958,0.589766,1.7411934,1.7816017,-0.0036708657,0.9302298,1.9851521,0.23631242,-0.5524911,1.335141,0.977661,0.73335135,0.58901334,-1.4823967,0.886764,1.0905992,2.257694,1.6727173,-1.5908461,-1.0059322,1.3110338,1.4929948,0.72191167,-0.6702617,-1.9827218,-1.2560306,0.39399856,-2.7082236,0.4050555,-1.4036875,-0.25306028,1.1687186,1.3036829,2.418429,-0.7094128,0.17135757,-1.1457708,0.68214184,-0.101508334,1.6342233,-2.091835,-1.2871093,-0.24991569,1.4657885,1.2254719,0.07355009,0.66534156,0.16387749,0.28999266,-0.08201473,0.31220108,1.2730752,1.1812766,0.75280505,2.8744648,-0.77896154,-0.6880595,1.0288534,0.026179707,1.0458761,-0.1729771,-1.1810776,1.0294594,-1.4766858,1.084507,-2.5162637,-1.8624126,-0.47154653,-1.0713569,0.20342657,-0.4696752,0.43979824,0.90124995,-0.9502625,1.2984004,-0.78136605,-2.0276718,-0.22711666,-0.8014304,1.9419783,-0.10436829,-0.16024275,-1.7943475
7,ecg_window_90_2_0.npz,0,1.6869767,-0.36118045,0.28154904,1.9770083,2.7408268,1.2362826,-1.2720848,-0.58718956,0.33564442,0.07217763,-0.6734286,-0.85473275,0.8773516,-1.7623582,-0.9273889,0.79485047,0.030091003,-0.042771004,1.0543239,-0.7328891,0.15387869,-0.30163085,-0.9497417,1.421362,-0.45472032,1.1045519,-1.6860739,-0.5239021,-0.48227268,-0.2371928,-1.6494844,0.42163637,-0.51930714,-1.438942,-0.8616378,0.9489149,0.76460624,-0.19135977,0.12472604,0.5776389,-0.47750163,0.5610143,0.30474398,1.0885319,0.1720381,0.71791065,0.29226065,0.33730927,1.1738795,-1.5891664,1.0818766,0.68793035,-0.51271456,-1.090252,-1.4537987,0.8434133,1.1799767,1.147277,0.36164874,-0.061457224,1.0066462,-0.09435258,0.2530329,-0.6533208,0.081909016,0.2828697,0.4811009,0.044624135,1.1512569,-1.3438996,-1.4007058,0.5809001,-0.1528969,0.72618544,-0.38704765,1.0975273,0.3937914,0.2149501,0.8727979,1.1412107,1.7080934,-1.7578504,1.0988793,-0.8108093,0.18013962,-1.0065403,1.0334054,-0.33695078,0.74498534,0.025015062,-0.30295172,-1.0941142,0.5047417,0.7202377,-0.03692566,1.5016395,1.215849,1.1754396,1.601331,0.28772292,-0.91900694,-0.61015064,1.7029994,-1.4568255,1.3766288,2.0570073,2.1449897,0.47976103,0.089061216,0.93304735,-1.0498066,0.8324896,-1.1193874,-0.5345106,2.0586982,-1.4665755,1.0583163,-2.0576625,1.3146375,1.0791519,-1.1560911,0.23919141,-1.088777,-0.6634213,2.3782928,-0.25059608,1.026108,0.03990385
8,ecg_window_2_1_1.npz,1,-0.16109766,0.5740124,-0.43567592,1.0760963,-0.15919468,-0.9838392,-0.76039493,0.23813426,-0.10884418,-0.11646394,0.5660113,-0.3292055,1.2531844,-0.4400893,-0.13067377,-1.0381435,-1.0521805,-0.97690046,0.6809454,-0.29084024,-1.8190117,0.0626363,0.8251919,-0.94917935,-0.016041763,-1.3666086,0.69052273,0.647608,-0.4280377,0.8097964,-1.0949734,-0.5526994,0.091400385,-0.07362062,2.0667543,-1.2673533,-1.1393136,0.43748337,-0.36457208,0.12318908,-0.85694116,-0.848335,-0.814581,-0.3347701,-0.5086561,0.4176144,-1.4021845,-0.26637655,-0.31898814,0.07875604,-0.03730643,-0.44024312,-1.2627327,1.207992,-0.56544745,1.2601317,0.8037068,0.031258516,0.48933753,-0.20384538,0.80919176,-0.40292177,-0.07918316,-0.3216829,-0.032037977,0.3341949,0.443838,-1.2342842,0.040152278,1.1137762,0.48287675,-0.021136519,0.90013415,-0.5167676,-0.329049,0.81586033,0.08276611,-1.2080227,-1.8806773,-0.5907748,-0.6916418,-0.5140244,-1.5636996,0.662714,-0.38901198,0.12207971,-0.30030528,-1.5971661,-0.5442194,-0.21564835,0.28085837,0.40616915,-0.52864957,1.2229025,-0.09702297,-0.03500091,-1.2227298,-0.12165261,-0.076597154,0.18611139,-0.101547934,1.4198881,-0.24314524,-0.27988717,-1.1632687,-0.87381226,-0.6659423,1.1074831,-0.2977445,-0.5211276,-0.31757817,0.11023379,2.3275993,-1.4768409,0.50592226,-0.19144857,0.120787024,0.8352445,0.9018889,0.1971089,-1.3458377,0.35427308,-0.22999781,-0.1303464,-1.3334143,0.04954986,1.4199408,-0.9444715
9,ecg_window_113_0_1.npz,1,-0.3843147,1.7853887,-1.4330971,-0.2639457,-0.4416146,-0.91564924,1.997573,0.17515874,0.91103953,-1.0436841,1.9711488,-2.6439345,-0.8517303,1.2114062,0.769003,-0.99982184,0.5175353,0.20028152,-1.0766326,-1.5663766,0.56504875,-0.39241818,-0.85241205,-1.2912828,0.06660957,-0.9785419,-2.3046303,-1.314202,0.2916717,-2.2588804,-1.4977841,-1.5182325,1.5898108,1.5381838,0.7815705,-0.63829374,1.0291082,0.5975259,-0.6433035,-1.3069285,0.38458228,-1.5999042,0.18974873,-2.5553553,1.3239716,-1.3580735,-0.51540875,-1.2010282,0.09465442,-0.1110335,-1.0879731,-1.1588457,0.18608443,1.0387447,0.8644626,-0.8562193,0.4340445,-0.01268909,1.2158533,-0.8761763,0.75879365,-0.015091907,0.55720156,2.7541661,1.8880216,-1.4305491,-0.20144139,-1.7557714,-0.97944784,0.6155642,0.7650162,-0.9809042,0.6040173,-0.81689674,0.7472877,1.0759485,-1.4775575,-1.6617,-2.2021863,0.9275615,-0.8411148,0.4105877,-0.9324125,-0.07990068,-1.1781529,1.1775718,1.185185,-0.17578997,-0.84790176,-0.6410118,0.56329346,-1.0152689,1.782366,-0.4948873,0.42912775,-0.19967867,-0.8641001,-0.8008717,-0.7775491,-1.0647273,0.5148767,0.9990713,-1.625743,1.1016846,-0.08100835,-0.8926468,-2.1966438,-0.6414099,0.45067993,-2.1876485,0.7839903,0.20714968,-0.62650645,-0.18519779,-0.9709628,1.1180521,-1.1753886,-0.8729906,-0.5209267,-0.38558057,-1.6238196,0.38094512,0.37073225,1.0683784,-0.28460082,-0.58908206,-0.8849645,0.57174206
