,filename,label,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15,embedding_16,embedding_17,embedding_18,embedding_19,embedding_20,embedding_21,embedding_22,embedding_23,embedding_24,embedding_25,embedding_26,embedding_27,embedding_28,embedding_29,embedding_30,embedding_31,embedding_32,embedding_33,embedding_34,embedding_35,embedding_36,embedding_37,embedding_38,embedding_39,embedding_40,embedding_41,embedding_42,embedding_43,embedding_44,embedding_45,embedding_46,embedding_47,embedding_48,embedding_49,embedding_50,embedding_51,embedding_52,embedding_53,embedding_54,embedding_55,embedding_56,embedding_57,embedding_58,embedding_59,embedding_60,embedding_61,embedding_62,embedding_63
0,ecg_window_196_1_1.npz,1,-0.483892,0.71543866,-0.50810415,0.12155549,0.1118163,-1.0151,0.42135778,1.162258,0.35381842,1.1115159,1.1924013,-0.4821305,-1.1391312,1.0289879,-0.028942006,0.15365423,-1.0209273,-0.8126051,0.7687163,0.23535523,-0.68176794,1.0896654,0.058026023,0.33462387,-0.5770008,-1.1733329,0.13893577,-0.33041573,-0.6079452,-0.6997149,0.96032757,-0.036248352,-0.36390895,-1.2000424,-1.7492352,0.40918386,0.036004536,-0.42018828,-0.48730323,-0.81938946,-1.2586336,-1.5339499,0.4208465,0.9701004,0.4388235,-0.90445405,-0.2379993,-0.34413567,1.0381641,-0.066738695,-0.1638799,0.13392673,1.116129,0.8891585,0.32065278,0.20541815,0.046017338,0.41645047,1.0136681,-0.27116042,-0.8499385,-0.4229708,0.4078525,-0.12223324
1,ecg_window_186_1_1.npz,1,-0.6887437,0.38915086,-0.12507917,-0.33150947,-0.7105864,0.26832557,1.4001865,1.0125989,0.06845896,0.39017695,0.96761626,-1.0945146,-0.8093925,0.043346327,-0.66851115,1.6866583,-0.5913808,-0.2605363,0.36858672,-1.389386,0.61581564,0.49498558,-0.77452236,1.5491563,0.61798114,-0.08639234,0.6581731,-0.45880613,-1.4709074,-0.41523266,0.4687508,-0.8931723,-0.4783496,-1.1099128,1.6040882,1.3032343,-0.070214726,0.34911963,-0.14640692,-1.1167843,-0.5975108,-0.66115093,0.6832185,-0.65459836,-0.5280467,-0.8110592,0.92450863,0.56307364,0.84391826,0.115491524,0.17491722,0.22056225,0.8703069,-1.2734991,-0.4471529,-0.78898406,-0.60380286,0.08233932,0.35921934,0.7777727,-0.56446373,-0.9011552,0.8108291,0.35984817
2,ecg_window_8_2_0.npz,0,0.35501406,-0.5240218,0.7211489,0.12853791,0.8096501,-0.05774186,-1.6552669,0.8673013,0.228294,1.290295,0.9597006,0.039421815,-1.1077502,-0.56479156,0.91243637,-0.79651785,-1.2905895,-0.787947,-0.90753573,0.24035715,-0.14292553,1.1925142,0.2877695,-1.3021281,-0.51055795,-1.3375854,-0.7770376,0.15434013,1.6118819,1.0733515,0.020622814,0.89767957,-0.68799853,-0.6578744,-0.604991,-0.5434389,-0.34648386,0.015624038,0.16625856,0.030868977,1.0926675,0.72539157,0.19342846,0.0461665,-0.18488836,0.9464538,-0.95863366,0.12350241,1.0034435,-0.15649578,0.15297027,0.06194311,0.9553055,0.4773249,0.67134184,0.013994492,0.80468565,-0.20303912,1.4224273,-0.7664451,-1.3712438,0.7347809,-0.80583334,-0.1506965
3,ecg_window_89_0_1.npz,1,-0.63001317,-0.0030396208,-0.60498494,-0.40699676,-1.5510654,-1.1532468,0.28307095,0.5076301,-0.34879798,0.9501493,1.0438668,-0.94608164,-0.9566327,-0.23042102,0.051187422,0.017546318,-0.46622607,-1.3610033,-0.17714949,0.13331732,-0.64215124,1.1439813,-0.21542132,0.25241616,-0.11855241,-0.1480317,0.25395548,0.39270687,-0.3288744,-0.21276733,-0.3905395,-0.98750365,0.976625,-0.68865275,-0.2734355,0.13162512,0.031360336,1.065912,0.059201952,-0.23362814,-0.5274981,-0.6305495,-0.56684965,0.15386987,1.0562922,-1.2972912,-0.44977543,-0.4959181,-0.16132422,-0.7877248,-0.9748554,1.5409592,1.087133,-0.16946496,1.0388491,0.26302335,0.42251775,0.22261386,1.231054,0.9122919,-0.8003405,0.1391006,-0.61516744,-0.082601756
4,ecg_window_99_0_1.npz,1,-0.0025438673,0.92454875,0.51900613,0.13406986,1.5843439,1.1036042,1.4406705,1.3466382,1.3608972,-0.0016963488,0.8695956,0.26920807,-0.7283596,-0.37060764,-0.6856158,1.72307,-1.2311523,-0.6541082,1.4868213,-1.6986305,0.8638669,0.5379661,0.6574853,1.5311371,0.78424776,-1.1043416,0.35679248,-0.83151627,-1.7148031,-1.7084465,1.6684542,-1.6334146,-0.33717757,-1.3866771,1.6237161,1.0206743,0.23807053,-1.6695138,0.39224383,-1.6254772,-0.6074258,0.96111155,0.1160304,-0.44884723,-1.4094243,-0.9153008,1.3461496,1.3195909,2.6381094,1.0058596,1.9603815,-2.0447896,0.85046977,-0.17047037,-1.5015535,-0.8430013,-0.6027921,-0.8946915,-0.36731642,0.34705874,-1.0549275,-2.7839813,2.3912091,0.036943637
5,ecg_window_1_0_1.npz,1,-0.3806159,0.7664051,-0.38322237,-0.8304093,-0.41991833,-0.6403504,1.0004462,1.0541724,0.26042774,0.7484891,1.1307561,-0.8893927,-0.9733367,0.16332737,1.1805601,0.6034782,-0.6488318,0.24191459,-0.2206639,-0.22327934,0.49932262,0.95192707,-0.38644314,1.0250176,0.46949747,-0.49165562,0.76819605,-0.1436464,-1.152915,-0.1672755,1.0195277,-0.6908692,0.52947503,-0.97383404,0.10693923,-0.56975234,-0.07102159,0.14026044,-0.27820075,-0.6121363,-0.258797,-0.09985323,0.005591884,-0.40317693,0.30021226,-0.24174817,0.16354252,-0.15282021,0.75112265,-0.1862317,0.06040411,-0.022423912,0.88090324,0.4919741,0.61451155,-0.47742856,-0.77571374,0.14029424,0.78182006,0.9216468,-0.8396511,-0.19371562,0.4894557,0.058837295
6,ecg_window_80_2_0.npz,0,0.11408028,0.6555721,1.2862297,1.6257882,1.2718996,-0.14870161,-1.9768531,1.0229235,-0.9415138,0.5848099,0.6902321,0.7504211,-0.9392261,-0.28358105,-1.4775295,-1.3947028,-1.1568075,1.6641746,0.86186284,-1.7190648,-0.6437302,0.6264846,-0.41814953,-1.7919908,-0.091361865,-0.8529205,-0.55367935,-0.8439219,1.0555377,0.0742094,-0.24852148,-0.3917097,-1.0715624,-0.5367374,0.9716246,0.47026405,-0.6238758,-0.8244204,-0.4840358,0.05132928,2.2686195,2.0380437,-0.24054888,0.8106855,0.5323155,1.7472788,-1.2535301,2.7598252,1.506733,0.7767962,0.96664256,-1.3598154,1.0894912,-1.0025188,-1.4682398,1.2870302,1.7477623,-0.24389099,1.1955019,-0.22796544,-1.1439525,-0.4348183,0.9505897,-0.09218664
7,ecg_window_90_2_0.npz,0,0.2173693,-1.2314936,-0.14633413,0.003332905,-0.7106717,0.3089408,-0.861446,0.53568864,-0.15713759,1.1232973,0.6452042,-0.28468144,-0.80571216,-0.57100594,0.6215982,0.107387684,-0.7198453,-0.08843182,-1.4812701,-0.4019177,0.23791867,0.9125911,0.044462707,-0.14945431,0.51807153,-0.005130512,-0.12512669,1.034686,0.90699184,1.0156641,-1.4743905,0.6895497,0.26657113,-0.3768494,0.63262856,0.3465803,-0.44026938,1.0388722,0.61339307,-0.3779879,1.3844789,0.933576,-0.037972827,-0.7559447,-0.33228803,1.1197815,-0.18224542,0.16917974,0.21065429,-0.4456851,-0.30324727,0.09196561,0.8069537,-0.68113035,0.31997207,-0.44064504,0.14797126,-0.28793854,0.96880203,0.015023046,-0.7281911,0.5256418,-1.4705136,0.47966883
8,ecg_window_2_1_1.npz,1,0.07496146,0.15326819,-1.0582371,-1.2523663,-0.76014125,-0.24262133,1.1435623,0.95352185,0.36171106,0.84253246,1.2560369,-1.4385434,-0.96982074,1.3783962,-1.0550386,1.707921,-0.6881847,-0.4238636,0.17054293,-0.78737396,0.5408134,1.2042372,0.50413823,0.960104,0.4917014,-0.63742757,0.3741338,-0.19468603,-0.7616763,-0.8817511,-0.16850565,0.067942224,-1.0668576,-1.181732,0.292124,-0.49905533,-0.81782556,0.47845918,0.87494874,-0.5090634,-1.2818657,-0.65564007,-0.28423822,-0.6147727,0.08688209,-0.15446778,1.0132619,-0.45118684,0.84580094,-0.38584152,-0.09592735,0.09795396,0.8891025,0.5298251,0.12158596,-1.0417947,-0.23384339,-0.017519409,0.52882266,0.22538288,-0.835608,-1.2305663,-0.14864546,0.35237372
9,ecg_window_113_0_1.npz,1,0.7481784,-0.44666815,-0.19059813,-1.6227554,-1.737152,-0.1257378,2.0547943,0.7176545,0.22307794,0.62325025,0.8805556,-0.96286565,-0.8673868,0.5397995,1.3099612,1.8085102,-0.29332814,0.32190642,-1.0036639,0.10838059,1.2128103,0.9296764,0.8668351,1.7231827,1.7693031,0.034110192,0.59562147,1.111192,-1.6945573,-1.012564,0.3244044,-1.8144413,0.2979975,-0.94249374,0.34549576,-1.3865995,-0.027352987,0.9901161,0.4783816,-0.9910938,-1.1861061,-0.99206656,-1.1706898,-1.4318254,0.29125786,-0.27521834,0.7952236,-1.3449264,0.33247098,-0.7320447,-0.16582763,-0.564051,0.6792471,0.73783183,0.65786177,-1.1063067,-1.6050181,-0.5610381,0.57563776,0.9003396,-0.4305385,-0.32226056,-0.47988746,0.611151
